自治体名,公開年月,発行号タイトル,記事タイトル,カテゴリ,記事本文
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,いつまでも この歯と一緒,健康,"「しっかり磨かないと虫歯になっちゃうよ」「きれいになったかな」。鏡の前で肩を並べて歯を磨く子どもたち。食後の歯磨きは、欠かせない日課です。
楽しい食事や会話、体を使った趣味や運動など、私たちの何げない生活を歯と口の健康が支えています。いつまでも丈夫に保つには、定期的な健診が大切。歯科医の青木誠司さん(54)は「食後は、歯ブラシや歯間の汚れを取るデンタルフロスを使ったセルフケアが虫歯予防につながる。歯や口の不調は全身の健康にも影響するので、違和感や痛みを感じた時は早めに歯科医院を受診してほしい」と呼びかけます。
市では、成人歯科健康診査や、誰でも受けられる歯磨き・口の悩み相談など、健康に保つための環境を整えています。6月4〜10日は歯と口の健康週間です。いつまでも健やかに暮らすために、歯や口の健康を考えてみませんか。

■6月4?10日　歯と口の健康週間
正しい知識と対策で虫歯を予防しましょう。

▽虫歯を防ぐポイント
・歯ブラシは年齢に合う大きさの物を使う
・「食べたら磨く」が基本。歯茎にもブラシが当たるように磨き、歯間ブラシなども使う
・食事の際はよくかみ、柔らかい物だけでなく、かみ応えのある物を食べる
・歯科医院などでの定期的な健診やクリーニングを受ける

問合せ：健康医療課
【電話】225?2174"
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,【Zoom Up】高齢者の外出を後押し かなちゃん手形の助成金額を拡大,くらし,"「かなちゃん手形」は、1回100円で神奈中バスに乗れる割引券です。市では昨年12月、高齢者の外出を後押しできるよう6カ月券の購入費助成を拡大しました。気軽に外出できる環境をさらに充実させるため、6月から1年券の助成費用も拡大します。

年齢を重ねると、体の衰えなどで自宅にこもりがちになります。外に出かけて体を動かし会話をすると、外出しない人に比べ要介護状態に陥るリスクが下がります。市では高齢者の外出を促し、人と交流する機会をつくるため、2005年から「かなちゃん手形」の購入費を助成しています。手形を使うと、神奈川中央交通の一般路線バスが1回100円(現金のみ)で乗車できます。
昨年、6カ月券の購入費助成額を1500円増額すると、その利用者が2倍近く増加。さらに外出しやすくなるよう、6月から1年券の助成費用も拡大します。

◆1年券の自己負担額が半分に
6月下旬から販売する1年券は、購入費助成額を3000円増額し、自己負担額3000円で購入できるようになりました。対象の70歳以上の方には、6月上旬に案内通知を郵送します。同封の助成券と必要書類を持ち会場で手続きをすると、即日交付されます(下記参照)。
かなちゃん手形を利用している日浦千代美さん(及川)は「助成金額拡大はとてもありがたい。週3・4回バスを利用していて、少しの移動でも気軽に使えるので助かっている。より多くの高齢者に利用してもらえれば」と笑顔を見せます。

◆生き生きと暮らせるまちに
市では他にも、高齢者の外出促進につながるサービスを提供しています。昨年12月には高齢者タクシー助成を拡大。今年度からは1枚400円のチケットの交付を12枚から48枚に増やしました。さらに、65歳以上の方には、市内の温泉・入浴施設などをお得に利用できる「シルバーチケット」を交付。年齢を重ねても楽しく生きがいのある暮らしづくりに取り組んでいます。
自立した生活を続けることは健康寿命の延伸につながります。いつまでも健康で生き生きと過ごすために、気軽に外出できる環境を整えていきます。

問合せ：福祉総合支援課
【電話】225?2220

■かなちゃん手形で出かけよう
◇購入費助成額を拡大
4月1日現在市内在住で2024年度に70歳以上の方を対象に、6?8月に販売する1年券(1万800円)の利用助成を拡充します。
拡大後：自己負担額3000円(7800円助成)

◇申請日程・会場
対象者には6月上旬に通知を発送。助成券を持ち、次の会場へ。
・6月18日…依知北・睦合北公民館
・19日…南毛利・玉川公民館
・20日…睦合南・相川公民館
・21日…小鮎公民館・上荻野分館
・24日…緑ケ丘・睦合西公民館
・25日…荻野公民館
・26日…森の里・依知南公民館
・27日…老人福祉センター寿荘
・28日…老人福祉センター寿荘・愛甲公民館
・29日…老人福祉センター寿荘
・7月1日?8月31日…神奈中本厚木駅前サービスセンター

▽タクシー助成(かなちゃん手形助成などと選択制)
会場ではタクシー助成も申請できます。
※かなちゃん手形と重複不可
対象：4月1日現在市内在住で24年度に
(1)85歳以上
(2)70?84歳で自動車運転免許がない
(3)要介護区分が4・5
?のいずれかに該当する方
内容：1枚400円のチケットを48枚交付

問合せ：福祉総合支援課
【電話】225-2220"
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,中心市街地の新たなシンボルに 複合施設実施設計説明会,くらし,"図書館、市庁舎などの複合施設の建物概要を説明します。

日時：7月7日　15?16時
場所：市役所第二庁舎
内容：完了した実施設計の概要説明
対象：市内在住在勤在学の方30人
申込み：ファクス、Eメールに、〒住所、氏名、電話番号、Eメールアドレスを書き、7月2日(必着)までに市街地整備課へ。
【FAX】224-4802【メール】5000@city.atsugi.kanagawa.jp
抽選。

問合せ：市街地整備課
【電話】225-2470"
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,厚木でスポーツを スポーツ合宿誘致事業補助金,スポーツ,"市内宿泊施設に泊まり、市内のスポーツ施設などを利用して合宿などをする市外のスポーツ団体や個人に補助金を交付します。

対象：市外に住民登録と活動拠点がある個人・団体
補助額：1泊1人2000円(上限…個人1万円・団体20万円)
対象条件：
・個人…公共団体が主催する大会への参加、市内宿泊施設に宿泊
・団体…市内スポーツ施設などを使用、市内宿泊施設に宿泊
申請方法：
・合宿前…事前確認書を提出
・合宿後…宿泊名簿やホテルの領収書などを提出

■スポーツの聖地へ　市HPでスポーツ情報を発信
スポーツに親しめるよう、市内で開催されるイベントや大会などの情報を発信しています。

問合せ：スポーツ魅力創造課
【電話】225-2531"
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,【Zoom Up】地震による電気火災のリスクを軽減 感震ブレーカーを有償配布,くらし,"地震などの災害から命や財産を守るには、日頃の備えが大切です。市では8月から、大規模地震による停電が復旧した際などに起こりやすい通電火災のリスクを軽減する「感震ブレーカー」を有償配布します。

最大震度7の揺れを観測した東日本大震災では、家屋の倒壊などに加え多くの火災が発生しました。原因を特定できた108件のうち、6割以上が電気に起因するものでした。市では、火災リスクを軽減するため、地震発生時に揺れを感知し、自動で電気を遮断する感震ブレーカーの有償配布を8月から始めます。

◆通電を自動で遮断
有償配布する感震ブレーカーは、自宅の分電盤に取り付ける簡易タイプの機器で、震度5強以上の揺れを感知すると、自動的にブレーカーのスイッチを落とし電気を遮断します。地震発生時は、電気機器の転倒や電気コードの断線が起こります。そのまま停電から復旧すると通電火災につながるため、防止には電気の遮断が欠かせません。加えて、自宅にいない時やブレーカーを切って避難する余裕がない場合にも効果的です。市では、設置を促進するため1個500円で配布開始。未設置の方などを対象に、6月から申し込みを受け付けます。取り付けが難しい方には、有料での設置サービスも実施します(下記参照)。
市内在住の濱田翔太さん(34・妻田)は「地震による火災の多くは電気関係が原因だとは知らなかった。全国的にも大きな地震が発生し、災害への恐怖心は年々増しているので、感震ブレーカーの設置は安心につながる。これを機に日頃の備えを見直したい」と話します。

◆いざという時に備えて
災害時に自身や家族の命を守るには、食料品の備蓄や非常持ち出し袋の用意、避難行動の事前確認など、日頃の備えが大切です。市では、市民の皆さんの命と暮らしを守るため、自宅での備えに活用できる冊子「防災ポケットブック」の全戸配布や、元日に発生した能登半島地震の教訓を生かした防災備蓄品の充実など、防災・減災対策を進めています。
災害は、いつ起こるか分かりません。一人一人ができることに取り組み、いざという時に備えましょう。

問合せ：危機管理課
【電話】225-2190

■感震ブレーカーの有償配布
対象：感震ブレーカー未設置の市内在住の方・団体
費用：1個500円
配布時期：8月以降
配布場所：危機管理課または公民館
※高所作業で設置が困難な方は、市シルバー人材センターによる有償での設置・取り付け対応も可。詳細は市HPに掲載。
申込み：危機管理課や公民館、市HPにある申請書を直接または郵送で、6月30日(必着)までに危機管理課へ。市HPからも申請可。

問合せ：危機管理課
【電話】225-2190"
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,浸水被害を防ぐ/家庭での備えを,くらし,"■浸水被害を防ぐ
河川の氾濫や降雨による浸水被害を防ぐため、対策などの費用の一部を補助します。

▽企業などの対策費用
対象：店舗、事務所、工場、集合住宅(マンション)、テナントビルなど
補助額：対象経費の3分の1(上限1億円)
補助条件：災害時に避難施設として提供する協定の締結
申込み：市HPにある申請書を直接、危機管理課へ。
【電話】225-2190
審査あり。

▽止水板の設置費用
対象：住宅、集合住宅(マンション)、店舗、事務所などへの設置・購入費用
補助額：対象経費の2分の1(上限50万円)
申込み：工事などの着手前に申請書と必要書類を河川下水道総務課へ。
【電話】225-2362
審査あり。条件などの詳細は市HPに掲載。

■家庭での備えを
被害を減らすには日頃からの備えが大切です。

▽事前に行動などを確認
オールハザードマップや市HPの3Dデジタルマップで災害リスクを知り、家族との連絡方法や集合場所、避難経路などを確認

▽自宅や周辺の点検
雨どいや周辺の側溝の詰まりは、道路の冠水や浸水の原因になるため、小まめに清掃

▽地下室などの対策
被害に遭いやすい地下室などがある建物は、浸水しないよう土のうや止水板を準備"
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,楽しく学ぼう 少年少女消防教育,子育て,"夏休みに、防災体験を通して災害への意識を高めませんか。

愛TV(市広報番組あつぎ愛テレビ)：6/1〜

日時：7月31日　9?16時
場所：県消防学校
内容：消防車や救急車の乗車・放水体験など
対象：市内在住の小学3年生?中学3年生20人
費用：無料
申込み：6月5?19日に直接、予防課へ。先着順。

■市消防本部公式インスタグラムで情報を発信
イベント情報や隊員たちの訓練、消防署の日常など活動の様子を発信しています。

問合せ：予防課
【電話】223-9371"
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,【特集】厚木とアユ 未来につなぐ「厚木の鮎(あゆ)」(1),文化,"釣り人、塩焼き、つかみ取り。相模川に面する厚木では昔から身近な生活の中にアユが根づいてきました。特集ではそんな「厚木の鮎」を守り伝える人々の姿を追いました。

■より大きく元気なアユを
厚木あゆ種苗センター
田辺　智之さん(36・三田)

春の空の下、三田にある厚木あゆ種苗センター(以下、センター)から涼しげな水の音が聞こえてきます。水車が回る水槽の中では体長10センチほどのアユたちが力強く飛び跳ねています。「今年のアユはよく育っている。これからが楽しみ」。センターの田辺智之さんは、放流に向けて5人の従業員と飼育作業に励んでいます。

▽アユを守るため
市内を流れる相模川は昔から多くのアユが遡上し、「鮎川」と呼ばれていました。今も6月になると市内外からアユ漁解禁を待ちわびていた釣り人たちが訪れます。センターは、相模川のアユの個体数を保つため1955年に相模川第二漁業協同組合が設立。2015年から、川の水産資源の維持管理を支援する内水面漁業協同組合連合会が運営しています。田辺さんが働き始めたのは10年前。当時は設備も古く生育が難しい環境で、現在の約5分の1の量しか放流できませんでした。アユが大きく育つよう、経験者のアドバイスを聞いたり、餌の種類や回数を変えたりと試行錯誤を繰り返すと生産量は少しづつ増え、19年には水槽を新たに6基設置。現在は年間で50〜60万匹のアユを育てています。

▽丁寧に育てる
アユの生育は、稚魚がセンターに届く1月ごろから始まります。田辺さんたちは毎日4〜5回餌をやり、泳ぎ方や食欲などの様子を見ながら与える量や大きさを調整します。水質をきれいに保つための水槽掃除も欠かせません。アユたちが調子を崩さないよう注意を払う田辺さんは「アユが大きく元気に育つため、できることは少ない。だからこそ小さな異変も見逃さないように観察している」と話します。4カ月で約5センチから12〜13センチほどに成長したアユは、4月下旬から5月にかけて相模川や中津川へと放流します。「放流するときが一番楽しみ。アユを守る仕事をしていると実感できる」と、川に放たれたアユたちを見守りながら田辺さんは話します。

▽多くの人に知ってもらう
センターでは他にも、相模川第二漁業協同組合と一緒に、アユのつかみ取り体験やイベント・売店での販売などに取り組んでいます。同組合の栗原信二代表理事組合長は「イベントなどを通じて厚木のアユに触れることで、多くの人に知ってもらえる」と、地元の人がアユに親しめる場を提供しています。
「地元の人が知り、好きになってもらうのもアユを守るために大切なこと」と真剣な表情で話す田辺さん。「厚木といえばアユ。皆さんの生活にもっと身近な魚になってほしい」。厚木のアユを守るため、これからも愛情を注いで育てていきます。

■アユの魅力を伝えたい
日本料理店店主
樽井　仁生さん(58・元町)

開店前の日本料理店の厨房で、真剣なまなざしで静かに包丁を動かしているのは店主の樽井仁生さん。食材の良さを引き出せるよう、丁寧に仕込みをします。
樽井さんのお店では、6月から10月まで看板メニューの一つとして厚木で育ったアユの塩焼きを提供しています。「生きたアユを使っているので取れる時期しか出していない」。樽井さんは真剣な表情で話します。

▽アユとの縁
徳島県で生まれ育ち、料理人を目指して大阪の専門学校に進んだ樽井さん。卒業後は日本料理の文化や歴史をさらに学ぶため、京都の老舗料亭で5年間修業を積みました。修行した店では夏に旬の食材として近くの川で取れたアユを塩焼きにしていました。鮮度や焼き加減など、おいしくアユを調理するための技を学んだ樽井さん。「生きた状態から調理すると、外はサクサク、中はフワフワに焼きあがる。ヒレも立ち見た目もきれいに仕上がる」と、新鮮なアユだからこそ味わえる魅力を話します。
樽井さんが市内で働き始めたのは26歳の時。結婚を機に厚木に引っ越したのがきっかけでした。料理を出すからにはその土地のおいしいものを食べてもらいたいと考えていた樽井さん。お客さんから「相模川でアユが取れるが、市内で食べられる場所が少ない」という声を聞き「せっかく近くでアユが取れるのだから、料理に出さないのはもったいない」と約30年間、厚木のアユを提供し続けています。

▽おいしく届けるために
樽井さんはアユが仕入れられる時期になると、毎日8時ごろにセンターへ。その日の分だけ購入して店に運びます。店内の水槽には、環境の変化に敏感なアユにストレスをかけないため、センターと同じ水温に調整した水を入れて鮮度を保ちます。「センターの人など一生懸命育てる人たちの思いを知っているからこそ、育ったアユの味を自分の手で台無しにしたくない」と手間を惜しみません。
毎年、市外からアユを求めて店を訪れるお客さんもいます。「今年もアユの季節がやってきた。多くの人に味わってほしい」と笑顔で話す樽井さんは、今日もお客さんに料理を振る舞うため、厨房に向かいます。

問合せ：商業観光課
【電話】225-2820"
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,【特集】厚木とアユ 未来につなぐ「厚木の鮎(あゆ)」(2),文化,"■アユの一生
アユは10?12月に川で生まれ、海へ下ります。3?5月になると川を遡上(そじょう)。コケを食べ成長したアユは10?12月に産卵し一生を終えます。

■相模川のアユを守る
相模川を遡上する天然のアユは環境の変化により減少しています。資源豊かな川の環境を保つため、定期的に放流しています。

▽内水面漁業協同組合連合会
県内の各漁業組合が希望するアユの放流量や場所を取りまとめる

↓「内水面漁業協同組合連合会」から「厚木あゆ種苗センター」へ依頼

▽厚木あゆ種苗センター
河口で採取または人工ふ化させたアユを稚魚から育成
・放流…「県内の河川」主に4月下旬?5月に相模川や多摩川などに放流
・提供…「飲食店・イベントなど」アユのつかみ取りや塩焼きの提供など

■市内で楽しめるアユ
▽釣る
6月1日から相模川でのアユ釣りが解禁されます。
期間：6月1日?10月14日
漁法：ルアー釣り(一部区域のみ)、コロガシ・友釣り
申込み：釣り具店や市まるごとショップ「あつまる」で販売する遊漁券を購入

問合せ：農業政策課
【電話】225-2801

▽味わう
市まるごとショップあつまるで甘露煮などを販売。
6?10月頃には市内の飲食店約7店でアユ料理が食べられます。詳細は市観光協会HPに掲載。

問合せ：商業観光課
【電話】225-2820

厚木あゆ種苗センターでは加えて活魚も販売

■アユと共にある厚木
あつぎ郷土博物館　学芸員
大野　一郎さん(63)
厚木とアユのつながりは古く、9世紀ごろまでさかのぼります。相模川は昔から「鮎川」と呼ばれていて、現在の厚木を含めた旧「愛甲」郡の名前はその「アユカハ」という言葉が由来だといわれています。江戸時代には幕府への献上品として生きたアユが納められていました。
明治時代以降になると、都心から来た人たちがアユ漁と料理を楽しむ「遊船会」や釣りをすることで、アユは観光資源として厚木を支える産業の一つになっていきました。厚木とアユは切っても切れない深いつながりがあります。

▽厚木とアユの歴史を展示
あつぎ郷土博物館ではアユ漁で使われていた道具や資料を展示しています。

問合せ：あつぎ郷土博物館
【電話】225-2515

問合せ：商業観光課
【電話】225-2820"
神奈川県厚木市,2024.06.01,広報あつぎ 第1424号（2024年6月1日発行）,街のNEWS あつトピ!,くらし,"■子どもたちの健やかな成長を願って
▽地域に伝わるせんみ凧(だこ)揚げに80人が参加
厚木周辺に伝わる「せんみ凧」を揚げるイベントが、玉川地区で開かれました。親子連れなど80人がたこ揚げを楽しみながら、地域の伝統文化に触れました。
イベントは、玉川地区文化振興会が玉川せんみ凧保存会の協力を得て開催し21回目。セミをかたどったたこを揚げる伝統文化を通して物作りを体験でき、地域住民との交流の場にもなっています。参加した子どもたちは、たこを少しでも高く揚げようと、繰り出す糸を小まめに調節しながら風をとらえていました。
保存会の前場政行さん(85・七沢)は「天気が良くて風もあり、きれいに揚がってくれた。今後もせんみ凧を伝えていきたい」と話しました。

■救援物資の受け入れ・保管体制を強化
▽災害時の救援物資の保管などに関する協定を市内で初めて締結
大規模な災害の発生に備え、横浜低温流通株式会社と協定を結びました。災害発生時に他の自治体などから救援物資が寄せられた際、市内にある同社の施設で受け入れ・仕分け・保管・管理・出庫ができるようになります。
協定は、能登半島地震などの状況を踏まえ同社から締結の申し出があり実現。締結式で伊澤進代表取締役会長は「災害時はスピード感のある対応が求められる。過去の大きな災害時に支援してきた経験を市のために役立てたい」とあいさつ。山口市長は「いつ起きるか分からない災害に備えて、市民の皆さんの命や暮らしを守るため、引き続き力添えをいただきたい」と述べました。
(市と同社は、災害時の非常食の調達などに関する協定も締結)

■工作を通して親子の絆を深める
▽少年少女フェスティバルをアミューあつぎで開催
おもちゃ作りなどの工作を通じて親子の絆を深める「少年少女フェスティバル」を、アミューあつぎで開催しました。親子連れなど約1000人が、竹とんぼやけん玉作りを楽しみました。
イベントは、市と青少年指導員連絡協議会が主体となり実施。子どもの未来を考える「あつぎ子ども月間」に併せ、毎年開催しています。会場では、青少年指導員やジュニアリーダーが、缶バッジや紙飛行機など11店の工作ブースを出展。来場者たちは興味のあるブースに立ち寄り、工作を楽しみました。おもちゃが完成すると子どもたちは笑顔を見せ、楽しそうに遊ぶ姿が見られました。
参加した安齊宏美さん(36・飯山)は「家でおもちゃ作りをするのは大変なのでこうしたイベントはうれしい」と話しました。

■花と緑あふれるまちへ
▽「緑のまつり」を厚木中央公園で開催
花や緑に親しむイベント「緑のまつり」を、厚木中央公園で開催しました。多くの家族連れなどが訪れ、物作り教室や市の花・サツキの鑑賞などを楽しみました。
イベントは、市と農業協同組合、厚木商工会議所などでつくる実行委員会が主催。花や緑がもたらす潤いと安らぎを多くの人に感じてもらい、緑あふれるまちにするため、1973年に始まり47回目を迎えました。会場では、環境に配慮した段ボール財布・木のお花・みつろうラップ作りができる体験コーナーの他、サツキの展示会や苗の無料配布なども実施しました。
夫婦で来場した山口信博さん(75・戸室)は「久しぶりにこのイベントに来て、花の苗を買った。家で育てるのが楽しみ」と笑顔を見せました。"
