自治体名,公開年月,発行号タイトル,記事タイトル,カテゴリ,記事本文
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,〔特集1〕子どもたちの笑顔を”まんなか”に 楽しいよ!児童館,子育て,"市では、遊びを通して子どもが心身ともに健やかに成長するよう、市内6カ所に児童館・児童センターを設け、18歳未満の全ての子どもたちに遊び場と遊びを提供しています。おもちゃ遊びや運動、季節の行事など、その活動はさまざま。それぞれの子どもが興味を持ったことを大切に、子どもたちの自立心を育てています。

対象：18歳未満の全ての児童(乳幼児は保護者同伴)
開館時間：9時?17時15分
休館日：(月)(夏休み期間中は(日))、(祝)(休)(5月5日除く。(月)が(祝)(休)の場合は翌(火)も休館)、年末年始
休日保育：倉敷児童館・倉敷北児童センターで(日)(祝)に実施

■児童館のここが好き!
◇利用者の方
初めての子育てですが、児童館に来ると安心できます。先生たちが優しくて、子ども一人一人に合わせて声をかけてくれるのがうれしい!

◇中野優子さん、里保ちゃん
1、2歳の頃から通っています。普段接することが少ない年上の子どもたちや、親以外の大人の方と交流できるのも良いですね!

■児童館ごとにいろいろ!楽しい遊びを用意してます!
・おもちゃがたくさん!
・簡単!工作
・元気に運動遊び
・しゃぼん玉遊び
・紙芝居

■地域の母親クラブも子育てを応援!
各児童館では母親クラブの協力による企画も実施。地域の大人と一緒に子どもたちの成長を見守っています。

■5月は春のこどもまんなか月間　こどもの日から1週間はこどもまんなか児童福祉週間
市は、国が推進する、子どもに関する取り組み・政策を社会の真ん中に据えた「こどもまんなか社会」の実現に賛同し「こどもまんなか応援サポーター宣言」をしています。
5月と11月は「こどもまんなか月間」。また、こどもの日から1週間は「こどもまんなか児童福祉週間」です。この機会に、子どもや家庭、子どもの健やかな成長について考え、子どもや子育て中の人に優しい社会づくりを目指しましょう!

◆令和7年度「こどもまんなか児童福祉週間」標語
いつだって　まんまるまんなか　こどもたち

◆期間中はイベントが盛りだくさん!
詳しくは、ホームページで確認するか問い合わせを。※は、要申し込み。
『★』は「この期間に子どもたちにもっと楽しんでほしい!」と各館が企画するイベント「こどもまんなかごー!ごー!!じどうかん(じどうせんたー)」です

◇倉敷児童館【電話】429-1791
・『★』こどもの日!ブロックでつくろう…5月5日(祝)10時?11時半
・『★』すこやかプラザまつり…5月17日(土)9時?12時

◇倉敷北児童センター【電話】422-6539
・手形でこいのぼり…5月11日(日)までの随時
・『★』運動会ごっこ※…5月28日(水)10時?11時。乳幼児親子

◇児島児童館【電話】473-2844
・『★』こいのぼりさがしなど…5月5日(祝)までの随時
・『★』こどもの日工作…5月5日(祝)10時?、11時?、14時?

◇玉島児童館【電話】526-3400
・『★』来い!来い!こいのぼり♪…5月1日(木)?5日(祝)の随時
・おでかけ児童館「端午の節句まつり」…5月5日(祝)10時?13時。玉島市民交流センターで

◇水島児童館
【電話】448-0650
・『★』みんなで遊ぼう♪こどもの日
(1)「かんたんドーナツ」を作ろう※…5月5日(祝)10時?
(2)かんたん工作をしよう…5月5日(祝)14時?15時
・『★』グッド・トイで遊ぼう…5月11日(日)13時?15時

◇真備児童館【電話】697-0831
・こいのぼりを飾ろう…5月5日(祝)までの随時
・こいのぼりをさがせ!…5月1日(木)、2日(金)、4日(祝)、5日(祝)の随時

■毎月のイベントは「児童館だより」でチェック!
毎月のイベント情報は、各館の「児童館だより」でお知らせしています。各館で配布している他、倉敷市児童館ポータルサイトでも見られます。

問い合わせ先：本庁子育て支援課
【電話】426-3314"
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,〔特集2〕豊かな海と緑・私たちの快適な暮らしを守るため倉敷西部クリーンセンターが本格稼働,くらし,"倉敷西部クリーンセンターは、令和6年度に稼働停止した倉敷西部清掃工場と水島エコワークス、老朽化した東部粗大ごみ処理場に代わる施設として整備を進めてきました。6年12月からの試運転を経て7年3月末に竣工し、4月1日から燃やせるごみ、埋立ごみ、粗大ごみを本格的に処理しています。

■施設概要
場所：玉島乙島8255-49
焼却処理能力：300トン/1日
粗大ごみ処理能力：20トン/5時間
ごみの搬入など詳しくは、ホームページで確認を。

■施設の主な特徴
◇ごみを完全燃焼
1日150トンのごみを処理できる焼却炉を2基設置。850°C以上の高温で燃やすことで、ごみを完全燃焼させ、ダイオキシン類の発生を抑制します。また、最新の設備と技術により、排ガス中の有害物質を高効率で除去します。

◇余熱利用で発電
ごみを燃やした時に発生する熱を回収し、タービン発電機で発電します。発電した電力は、当施設で使用する電力の全てを賄うとともに、隣接する玉島環境センターや玉島下水処理場に供給します。令和8年度からは、本庁舎などの複数の市有施設に電力を供給し、さらなる電力の地産地消の実現と温室効果ガス排出量の削減を進めます。

〔一般家庭に換算すると約10,000戸分を発電!〕

■施設見学をしませんか
施設の役割やごみ処理の流れ、分別や減量の大切さなどを分かりやすく学べます。
見学可能日時：(月)?(金)9時?12時・13時半?16時。年末年始・盆などを除く
見学時間：90分
内容：施設紹介ムービー、工場内見学、体験シアターなど
最大見学人数：120人(40人ごとの班に分かれての見学)
申込方法：見学希望日の7日前までに、本紙の二次元コードから電子申請で

問い合わせ先：
整備事業について…本庁環境施設課【電話】426-3381
ごみの搬入や施設見学について…倉敷西部クリーンセンター【電話】441-1754
ごみの分別や収集について…本庁資源循環推進課【電話】426-3375"
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,家具等の転倒防止器具の取り付けを支援します,くらし,"地震の時の室内でのけがの多くが、転倒した家具などによるものです。また、転倒した家具によって避難がスムーズにできなくなることも考えられます。災害発生時に一人で避難することができない人がけがをするリスクなどを軽減するために、避難行動要支援者名簿に掲載された人を対象に、家具などの転倒防止器具の取り付けを支援します。
取り付けは、市の委託する事業者が申請者の家を訪問し、家の構造・家具を確認し、最も適した方法を提案します。申請者の負担額は取り付ける器具により異なります。

対象：避難行動要支援者名簿に掲載された人
上限：1世帯につき最大3点まで、器具代は申請者負担
申込み：市ホームページ・問い合わせ先にある申請書で

■避難行動要支援者名簿掲載者とは
自力または家族の力を借りるだけでは安全な場所への避難が困難で、次のいずれかの要件に該当し、名簿への掲載に同意した人
・介護保険の要介護3以上の認定を受けている
・身体障がい者手帳1・2級第1種(心臓・じん臓のみ該当する人を除く)を所持している
・療育手帳AまたはAと同程度の手帳を所持している
・精神障がい者保健福祉手帳1級を所持している
・特定医療費(指定難病)受給者証または特定疾患医療受給者証の交付を受けている

問い合わせ先：本庁地域防災推進課
【電話】426-3131"
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,緊急告知FMラジオ購入補助制度の補助対象を拡大,くらし,"緊急告知FMラジオは、緊急地震速報や、市が発出する避難指示などの防災情報、弾道ミサイル発射といった緊急情報を受信した際に、電源を切っていても自動的にスイッチが入り、大音量で放送するラジオです。平常時はFMくらしき、NHK-FM、RSK山陽放送、FM岡山の4局が受信できます。
4月1日から、市内にある医療機関、福祉施設、金融機関、私立の学校園が購入する場合も補助対象となりました。
※受信確認のための貸し出しあり。詳しくは、指定取扱店へ問い合わせを。台数に限りあり
※ラジオの受信状況改善のための環境整備や、購入したラジオの修理などは補助の対象外です
※毎月1日(12時55分ごろ)に試験放送をしています

対象：
(1)市内在住でスマートフォンを持っていない人
(2)市内在住の避難行動要支援者
(3)市内にある医療機関、福祉施設、金融機関、私立の学校園
自己負担額：2,000円(定価10,450円)。購入は、1世帯当たり1台まで、1施設当たり1台まで
※同一敷地内に複数の施設(棟)が設置されている場合には、全体を1施設とします。詳しくは、問い合わせを

■指定取扱店
・(株)エフエムくらしき(白楽町520-28)【電話】430-0600
・児島市民交流センター(児島味野2-2-38)【電話】474-8560
・玉島市民交流センター(玉島阿賀崎1-10-1)【電話】526-1400
・玉島テレビ放送(株)(玉島阿賀崎1-2-31)【電話】526-7075
・玉島信用金庫・水島信用金庫の市内全店舗
・たけのこ茶屋(真備町箭田3652-1)【電話】698-1514
※市の窓口では販売していません

■購入方法
(1)指定取扱店で申込書などを記入し、自己負担額(2,000円)を支払う。個人の場合は身分証明書の掲示が必要です
(2)指定取扱店へラジオが納品され次第、指定取扱店から連絡し、ラジオを引き渡します。受注生産のため、申請から引き渡しまで期間を要します

問い合わせ先：本庁危機管理課
【電話】426-3645"
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,もしもの地震、あなたの家は大丈夫ですか,くらし,"頻発する地震への対策のため、市内の木造住宅の耐震診断・改修などをする場合に、一定の範囲で補助金を交付しています。申請者が一時的に工事施工者へ支払う費用を抑えることができる制度(代理受領)もあります。なお、予算に限りがあるので、事前に連絡を。

■木造住宅の耐震診断(現況診断・補強計画)の補助制度
対象：昭和56年5月31日以前に着工した木造住宅
補助金額：9万円に対し8万円

■木造住宅の耐震改修工事費の補助制度
対象：昭和56年5月31日以前に着工した木造住宅のうち、耐震診断の現況診断・補強計画を実施したもので、補強計画の内容に基づき耐震改修工事を行うもの
補助率：耐震改修工事費の5分の4。上限115万円

■耐震シェルター・防災ベッド設置工事の補助制度
対象：昭和56年5月31日以前に着工し、耐震基準を満たさない木造住宅に設置するもの
補助率：原則、設置工事費の2分の1。上限80万円

■木造住宅の部分耐震改修工事の補助制度
対象：昭和56年5月31日以前に着工した木造住宅のうち、耐震診断の現況診断・補強計画を実施したもので、補強計画の内容に基づき部分耐震改修工事を行うもの
補助率：原則、設置工事費の2分の1。上限80万円

■危険なブロック塀などの撤去補助制度もあります
詳しくは、問い合わせを。

問い合わせ先：本庁建築指導課
【電話】426-3501"
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,市職員を募集,しごと,"民間企業を中心に就職活動をしている人や社会人も受験しやすいように、教養試験や専門試験を実施しない試験区分を設けています。日程・対象など詳しくは、市ホームページか受験案内で確認を。

■一次試験
日時・場所：6月15日(日)、消防職は14日(土)も実施、保育教育職は6月29日(日)に実施、東中学校などで
申し込み：5月30日(金)までに、市ホームページから電子申請で
採用予定日：令和8年4月1日または7年10月1日
受験案内配布場所：市ホームページ、本庁総合案内・人事課、各支所、倉敷駅前連絡所、市保健所保健課、市民病院

■9月以降の採用試験の予定
短大卒・高校卒の事務職、土木・建築・電気・機械技術職・消防職、栄養士、事務職(障がい者)などの試験を実施する予定です。その他の募集職種など詳しくは「、広報くらしき8月号」などでお知らせします。

<img class=""alignnone size-full wp-image-9427684"" src=""https://mykoho.jp/wp-content/uploads/2025/04/sn_kurashiki250501_1.png"" alt="""" width=""392"" height=""643"" />

問い合わせ先：市職員採用試験委員会事務局(本庁人事課内)
【電話】426-3141"
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,農業者向け物価高騰対策支援補助金,くらし,"農業生産資材の価格高騰により経営に負担が増している農業者に対して、経営支援のための補助金を交付します。詳しくは、市ホームページで確認を。

対象：令和7年1月1日現在、市内に住所を有する個人または主たる事業所を有する法人で、次の全てを満たすもの
・6年時点で営農をしており、7年以降も継続予定
・6年分の税申告(法人は7年1月1日の直前の事業年度における税申告)をした人のうち、農業所得用の青色申告決算書、収支内訳書または決算報告書(法人)に記載された補助対象経費(種苗費、肥料費、諸材料費)の合計額が5万円以上(税込み)
補助率：補助対象経費(税抜き)の5分の1以内。上限40万円
申し込み：6月30日(月)までに、本庁総合案内・農林水産課、児島・玉島・水島・船穂・真備の各支所産業課(係)、庄・茶屋町の各支所、市ホームページにある申請書に必要書類を添付し、問い合わせ先へ郵送で。本庁農林水産課、児島・玉島・水島・船穂・真備の各支所産業課(係)、庄・茶屋町の各支所に設置の受付ボックスに提出も可(平日9時?17時)。前回の農業者向け物価高騰対策支援補助金(6年2月16日?6年4月30日に受け付けた補助金)を支給した対象者には、4月下旬に申請書を発送

問い合わせ先：本庁農林水産課(〒710-8565西中新田640)
【電話】426-3425"
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,10月実施予定 国勢調査員を募集,しごと,"国勢調査は、日本に住んでいる全ての人と世帯を対象とする、国の最も重要な統計調査です。職務内容は、説明会出席、調査票の配布・記入方法の説明・回収・検査です。

応募資格：責任を持って調査事務や書類管理ができ、秘密を保持できる20歳以上の人
報酬：担当件数などにより算定
調査地域：市内全域
申し込み：市ホームページから電子申請か、本庁総務課、市ホームページにある申込書で随時受け付け

問い合わせ先：本庁総務課統計係
【電話】426-3065"
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,米国の関税措置に関する経営相談窓口を設置,しごと,"米国の関税措置による影響が懸念されることから、中小企業・小規模事業者の経営相談窓口を設置しています。

日時：(月)?(金)((祝)(休)除く)8時半?17時15分
場所：本庁商工課。電話による相談も可

問い合わせ先：本庁商工課
【電話】426-3405"
岡山県倉敷市,2025.05.01,広報くらしき 2025年5月号,産科医療特別給付金の申請は専用コールセンターへ,子育て,"令和3年12月末日に廃止された産科医療補償制度の個別対象外となった子などのうち、4年1月改定基準に相当する給付対象の基準を満たす場合に、特別給付金を特例的に支給することを目的に、公益財団法人日本医療機能評価機構が創設しました。詳しくは、産科医療特別給付事業専用コールセンターまで問い合わせてください。

問い合わせ先：
産科医療特別給付事業専用コールセンター　フリーダイヤル【電話】0120-299-056
市保健所保健課【電話】434-9812"
